sample_nr,plot_id,sample_id,wheat_var,trt,pos_y,dry_weight,num_heads,dw_per_stem,rep_til_mean,weight_head,weight_kernels_per_head,nr_kernels_per_head
Exp_9_53,plot_27,bx14_a,fiorina,b,58.5,1654.24,560,2.912394366,3.4,2.0792,1.6368,35
Exp_9_54,plot_27,bx14_b,fiorina,b,58.5,1619.84,552,2.934492754,3.2,2.0858,1.6168,37
Exp_9_55,plot_28,WT14_a,fiorina,W,67.5,1478,504,2.88671875,3.4,2.136,1.634,39
Exp_9_56,plot_28,WT14_b,fiorina,W,67.5,1844.8,488,3.780327869,2.4,2.0584,1.5152,33.6
Exp_9_57,plot_29,bx15_a,fiorina,b,76.5,1637.6,448,3.59122807,2.4,2.1262,1.628,41.4
Exp_9_58,plot_29,bx15_b,fiorina,b,76.5,1574.88,528,2.982727273,3,1.7602,1.4144,34.6
Exp_9_59,plot_30,WT15_a,fiorina,W,85.5,1800.64,664,2.711807229,2.4,1.8488,1.355,38.8
Exp_9_60,plot_30,WT15_b,fiorina,W,85.5,1936.8,648,2.988888889,3.6,1.853,1.5804,45.2
Exp_9_61,plot_31,bx16_a,claro,b,4.5,1418.64,400,3.5466,2.2,2.5428,2.0906,47.2
Exp_9_62,plot_31,bx16_b,claro,b,4.5,1816.96,496,3.663225806,2.6,2.459,1.987,44.8
Exp_9_63,plot_32,WT16_a,claro,W,13.5,1465.2,424,3.455660377,3.4,2.311,1.8644,47
Exp_9_64,plot_32,WT16_b,claro,W,13.5,1513.28,424,3.569056604,3,2.4928,2.0314,44.8
Exp_9_65,plot_33,bx17_a,claro,b,22.5,1644,440,3.736363636,1.6,2.9506,2.442,52.6
Exp_9_66,plot_33,bx17_b,claro,b,22.5,1055.36,296,3.565405405,2,2.6022,2.0772,46.2
Exp_9_67,plot_34,WT17_a,claro,W,31.5,1379.52,456,3.025263158,2.8,2.2982,1.8568,46.6
Exp_9_68,plot_34,WT17_b,claro,W,31.5,1678.96,440,3.815818182,2.6,2.9828,2.398,55.2
Exp_9_69,plot_35,bx18_a,claro,b,40.5,1559.52,432,3.61,3.2,2.586,2.0536,46
Exp_9_70,plot_35,bx18_b,claro,b,40.5,1272.24,384,3.313125,3.2,2.1188,1.7506,39.6
