"plot_id","sample_id","wheat_var","trt","pos_y","compound_name","ng_mL"
"plot_25","bx13","fiorina","b",40.5,"AMPO",0.5
"plot_26","WT13","fiorina","W",49.5,"HMBOA",22.25
"plot_26","WT13","fiorina","W",49.5,"HDMBOA-Glc",NA
"plot_26","WT13","fiorina","W",49.5,"MBOA",3.25
"plot_26","WT13","fiorina","W",49.5,"AMPO",0.69
"plot_27","bx14","fiorina","b",58.5,"HMBOA",12.9
"plot_27","bx14","fiorina","b",58.5,"HDMBOA-Glc",5.75
"plot_27","bx14","fiorina","b",58.5,"MBOA",2.79
"plot_27","bx14","fiorina","b",58.5,"AMPO",0.5
"plot_28","WT14","fiorina","W",67.5,"HMBOA",12.76
"plot_28","WT14","fiorina","W",67.5,"HDMBOA-Glc",10.52
"plot_28","WT14","fiorina","W",67.5,"MBOA",3.55
"plot_28","WT14","fiorina","W",67.5,"AMPO",0.64
"plot_29","bx15","fiorina","b",76.5,"HMBOA",1.87
"plot_29","bx15","fiorina","b",76.5,"HDMBOA-Glc",NA
"plot_29","bx15","fiorina","b",76.5,"MBOA",1.23
"plot_29","bx15","fiorina","b",76.5,"AMPO",0.48
"plot_30","WT15","fiorina","W",85.5,"HMBOA",2.67
"plot_30","WT15","fiorina","W",85.5,"HDMBOA-Glc",NA
"plot_30","WT15","fiorina","W",85.5,"MBOA",1.68
"plot_30","WT15","fiorina","W",85.5,"AMPO",0.62
"plot_31","bx16","claro","b",4.5,"HMBOA",NA
"plot_31","bx16","claro","b",4.5,"HDMBOA-Glc",12.68
"plot_31","bx16","claro","b",4.5,"MBOA",5.21
"plot_31","bx16","claro","b",4.5,"AMPO",0.53
"plot_32","WT16","claro","W",13.5,"HMBOA",11.61
"plot_32","WT16","claro","W",13.5,"HDMBOA-Glc",14.22
"plot_32","WT16","claro","W",13.5,"MBOA",6.9
"plot_32","WT16","claro","W",13.5,"AMPO",0.82
"plot_33","bx17","claro","b",22.5,"HMBOA",5.66
"plot_33","bx17","claro","b",22.5,"HDMBOA-Glc",6.66
"plot_33","bx17","claro","b",22.5,"MBOA",1.86
"plot_33","bx17","claro","b",22.5,"AMPO",0.59
"plot_35","bx18","claro","b",40.5,"HMBOA",6.34
"plot_35","bx18","claro","b",40.5,"HDMBOA-Glc",5.44
"plot_35","bx18","claro","b",40.5,"MBOA",3.18
"plot_35","bx18","claro","b",40.5,"AMPO",0.6
"plot_36","WT18","claro","W",49.5,"HMBOA",7.53
"plot_36","WT18","claro","W",49.5,"HDMBOA-Glc",5.67
"plot_36","WT18","claro","W",49.5,"MBOA",4.06
"plot_36","WT18","claro","W",49.5,"AMPO",0.86
"plot_37","bx19","claro","b",58.5,"HMBOA",3.74
"plot_37","bx19","claro","b",58.5,"HDMBOA-Glc",6.95
"plot_37","bx19","claro","b",58.5,"MBOA",2.94
"plot_37","bx19","claro","b",58.5,"AMPO",0.59
"plot_38","WT19","claro","W",67.5,"HMBOA",8.3
"plot_38","WT19","claro","W",67.5,"HDMBOA-Glc",NA
"plot_38","WT19","claro","W",67.5,"MBOA",4.79
"plot_38","WT19","claro","W",67.5,"AMPO",1.22
"plot_39","bx20","claro","b",76.5,"HMBOA",NA
"plot_39","bx20","claro","b",76.5,"HDMBOA-Glc",NA
"plot_39","bx20","claro","b",76.5,"MBOA",6.31
"plot_39","bx20","claro","b",76.5,"AMPO",NA
"plot_40","WT20","claro","W",85.5,"HMBOA",NA
"plot_40","WT20","claro","W",85.5,"HDMBOA-Glc",20.4
"plot_40","WT20","claro","W",85.5,"MBOA",6.29
"plot_40","WT20","claro","W",85.5,"AMPO",1.18
"plot_41","bx21","sailor","b",4.5,"HMBOA",3.68
"plot_41","bx21","sailor","b",4.5,"HDMBOA-Glc",22.98
"plot_41","bx21","sailor","b",4.5,"MBOA",3.88
"plot_41","bx21","sailor","b",4.5,"AMPO",0.5
"plot_42","WT21","sailor","W",13.5,"HMBOA",4.64
"plot_42","WT21","sailor","W",13.5,"HDMBOA-Glc",5.73
"plot_42","WT21","sailor","W",13.5,"MBOA",3.68
"plot_42","WT21","sailor","W",13.5,"AMPO",0.67
"plot_43","bx22","sailor","b",22.5,"HMBOA",4.82
"plot_43","bx22","sailor","b",22.5,"HDMBOA-Glc",8.98
"plot_43","bx22","sailor","b",22.5,"MBOA",2.73
"plot_43","bx22","sailor","b",22.5,"AMPO",0.48
"plot_44","WT22","sailor","W",31.5,"HMBOA",11.94
"plot_44","WT22","sailor","W",31.5,"HDMBOA-Glc",13.54
"plot_44","WT22","sailor","W",31.5,"MBOA",4.93
"plot_44","WT22","sailor","W",31.5,"AMPO",0.6
"plot_45","bx23","sailor","b",40.5,"HMBOA",6.56
"plot_45","bx23","sailor","b",40.5,"HDMBOA-Glc",15.65
"plot_45","bx23","sailor","b",40.5,"MBOA",3.5
"plot_45","bx23","sailor","b",40.5,"AMPO",0.5
"plot_46","WT23","sailor","W",49.5,"HMBOA",10.68
"plot_46","WT23","sailor","W",49.5,"HDMBOA-Glc",9.91
