"sample_nr","plot_id","sample_id","wheat_var","trt","pos_y","germ","chlorophyll","height_mean","fresh_weight","dry_weight","water_content"
"Exp_9_55","plot_28","WT14_a","fiorina","W",67.5,250.666666666667,40,97.68,3612,695.44,80.7464008859358
"Exp_9_56","plot_28","WT14_b","fiorina","W",67.5,250.666666666667,39.5,97.83,4240,794.56,81.2603773584906
"Exp_9_57","plot_29","bx15_a","fiorina","b",76.5,245.333333333333,38.6,94.65,3108,625.84,79.8635778635779
"Exp_9_58","plot_29","bx15_b","fiorina","b",76.5,240,39.7,93.93,3080,589.52,80.8597402597402
"Exp_9_59","plot_30","WT15_a","fiorina","W",85.5,256,41.4,96.48,3716,711.04,80.8654467168999
"Exp_9_60","plot_30","WT15_b","fiorina","W",85.5,309.333333333333,40.2,100.77,4928,885.44,82.0324675324675
"Exp_9_61","plot_31","bx16_a","claro","b",4.5,272,44.9,87.57,3544,632.24,82.1602708803612
"Exp_9_62","plot_31","bx16_b","claro","b",4.5,282.666666666667,48.2,83.63,3720,667.92,82.0451612903226
"Exp_9_63","plot_32","WT16_a","claro","W",13.5,213.333333333333,48.1,90.09,4428,728.08,83.5573622402891
"Exp_9_64","plot_32","WT16_b","claro","W",13.5,213.333333333333,44.1,88.72,3296,612.16,81.4271844660194
"Exp_9_65","plot_33","bx17_a","claro","b",22.5,186.666666666667,41.9,87.05,3032,568.88,81.2374670184697
"Exp_9_66","plot_33","bx17_b","claro","b",22.5,245.333333333333,43.7,87.13,3612,639.04,82.3078626799557
"Exp_9_67","plot_34","WT17_a","claro","W",31.5,277.333333333333,41.6,87.4,4676,831.2,82.224123182207
"Exp_9_68","plot_34","WT17_b","claro","W",31.5,309.333333333333,44.2,88.35,3160,586.8,81.4303797468354
"Exp_9_69","plot_35","bx18_a","claro","b",40.5,346.666666666667,43,87.09,3364,626.72,81.3697978596908
"Exp_9_70","plot_35","bx18_b","claro","b",40.5,245.333333333333,42.6,86.72,3480,645.92,81.4390804597701
"Exp_9_71","plot_36","WT18_a","claro","W",49.5,298.666666666667,42.3,89.84,4888,878.4,82.0294599018003
"Exp_9_72","plot_36","WT18_b","claro","W",49.5,229.333333333333,43.6,89.91,3800,655.44,82.7515789473684
"Exp_9_73","plot_37","bx19_a","claro","b",58.5,288,41,85.98,3756,690.64,81.6123535676251
"Exp_9_74","plot_37","bx19_b","claro","b",58.5,266.666666666667,38.2,84.76,4704,867.6,81.5561224489796
"Exp_9_75","plot_38","WT19_a","claro","W",67.5,266.666666666667,43,91.54,4448,788.16,82.2805755395683
"Exp_9_76","plot_38","WT19_b","claro","W",67.5,250.666666666667,43.9,89.52,3280,622.72,81.0146341463415
"Exp_9_77","plot_39","bx20_a","claro","b",76.5,288,42.5,87.79,4704,801.2,82.9676870748299
"Exp_9_78","plot_39","bx20_b","claro","b",76.5,213.333333333333,44.8,87.33,4688,816,82.5938566552901
"Exp_9_79","plot_40","WT20_a","claro","W",85.5,282.666666666667,45.6,90.12,4284,747.52,82.5508870214753
