plot_id,sample_id,wheat_var,trt,pos_y,Mg[mg/kg],P[mg/kg],K[mg/kg],Ca[mg/kg],Mn[mg/kg],Na[mg/kg],Al[mg/kg],V[mg/kg],Cr[mg/kg],Fe[mg/kg],Ni[mg/kg],Cu[mg/kg],Zn[mg/kg],Ga[mg/kg],As[mg/kg],Rb[mg/kg],Sr[mg/kg],Cd[mg/kg],Cs[mg/kg],Ba[mg/kg],Ce[mg/kg]
plot_18,WT09,claro,W,67.5,1407.121064,3922.305831,4608.927908,35.8924838,44.74922842,10.30514569,1.420635545,0.001894314,0.079413351,34.21502203,0.212002209,5.879386627,26.06434776,0.977217932,0.005014291,4.150961533,2.005416515,0.031140119,0.003224374,3.157663788,0.000610599
plot_19,bx10,claro,b,76.5,1330.639628,3811.458263,4577.300254,41.62550268,43.48119936,10.07637503,1.193065016,0.001696873,0.058062777,31.67485787,0.205805677,5.797539488,24.97953973,0.961166064,0.00468072,4.608284104,1.530168846,0.032475024,0.003694903,2.983697502,0.000324374
plot_20,WT10,claro,W,85.5,1445.143994,4035.11493,4710.305137,39.95928086,42.85260422,9.398336552,1.180232702,0.001166554,0.055028737,36.04004349,0.202249468,5.465090329,24.45930278,1.022449921,0.005506418,2.775719862,1.520043519,0.034659978,0.002283219,3.234867676,0.000247822
plot_21,bx11,fiorina,b,4.5,1324.89231,3568.067488,3610.303012,47.8024381,39.79093317,8.634971277,2.524096765,0.002966535,0.127121389,33.29591318,0.183216115,7.695334989,27.55324154,0.718710011,0.004478356,3.19324588,1.685799254,0.037594179,0.003080297,2.247493361,0.000821313
plot_22,WT11,fiorina,W,13.5,1554.283213,4103.656434,4190.591995,50.1800845,40.09684226,8.391382582,1.679952619,0.002459303,0.076801425,35.20888315,0.113307885,8.069415155,24.3642261,1.009098746,0.003653069,2.295545646,1.965900716,0.034138866,0.001846358,3.366755889,0.000712349
plot_23,bx12,fiorina,b,22.5,1638.349528,4349.758867,4469.355372,46.07935133,50.85836872,8.670641453,1.43518495,0.001665855,0.129460836,38.87677211,0.117469371,9.101347644,27.6351167,1.012629132,0.004225483,2.072252459,1.963221765,0.031573802,0.001632615,3.321058888,0.000312752
plot_24,WT12,fiorina,W,31.5,1426.348739,3859.821427,4105.715523,52.60528713,41.2575918,8.531278752,1.115110516,0.001193134,0.055555096,33.54315465,0.124016852,8.195640776,24.43838633,1.112782417,0.004220334,1.325322389,2.002902486,0.028983603,0.001229698,3.665685532,0.000363513
plot_25,bx13,fiorina,b,40.5,1653.216788,4302.059974,4510.394851,52.19793595,39.86695759,8.617760998,2.092008495,0.002439716,0.064521382,38.96715495,0.136175001,8.505853384,24.86529181,1.120404268,0.004452621,1.680883053,2.238919632,0.037652302,0.001468527,3.771716098,0.000269076
plot_26,WT13,fiorina,W,49.5,1473.264315,3882.614285,4063.000888,50.11849142,30.93124836,8.459099743,1.449195144,0.001808141,0.060750432,33.37002308,0.099629175,8.053221561,21.67895016,0.956045058,0.004293523,1.312547963,2.095306925,0.021444577,0.001109268,2.995456601,0.000341429
plot_27,bx14,fiorina,b,58.5,1601.306757,4392.609554,4664.123827,46.59726648,37.69087908,9.323962555,NA,NA,NA,37.87401702,0.181233536,7.857725141,24.27028061,0.862067358,0.003963575,2.178068487,2.118744866,0.028624975,0.001533833,2.775650114,NA
plot_28,WT14,fiorina,W,67.5,1473.46533,4027.380486,4428.513294,51.02787216,33.11666181,8.062091877,1.064693519,0.001832419,0.064033748,28.81996741,0.070967194,7.497424797,21.55685107,0.631416971,0.003533184,2.799746686,2.008450093,0.023157254,0.001501093,2.112661526,0.000351286
plot_29,bx15,fiorina,b,76.5,1512.196035,4185.376251,4578.268054,53.89053893,35.75256786,8.684738479,1.282549837,0.00132398,0.06073273,30.90871427,0.090107808,8.27972836,22.3229681,0.68360161,0.003411126,4.491434416,2.108967282,0.027000624,0.002811896,2.302715148,0.000337159
plot_30,WT15,fiorina,W,85.5,1462.691111,3965.961431,4415.354591,61.55553713,40.65618222,7.797518238,1.283472013,0.001305072,0.053322746,28.70811732,0.117650207,7.421094254,22.84822268,0.894397841,0.003418392,2.89727889,2.020631364,0.03075003,0.001530803,2.978677866,0.000293363
plot_31,bx16,claro,b,4.5,1441.719479,4113.091397,4984.947994,47.7330895,51.58174538,9.324531133,2.323193176,0.001997584,0.05696659,34.28852029,0.238096238,5.231779407,27.88769638,0.993377274,0.004205865,3.862683304,1.58595443,0.036923456,0.002354727,3.306272896,0.000482286
plot_32,WT16,claro,W,13.5,1436.464731,4158.603096,4807.008029,46.91032105,40.67014334,8.830659092,1.930055245,0.002555641,0.084295089,34.49962277,0.146092456,4.655940452,21.30906536,0.911886887,0.004716746,3.122174678,1.82247312,0.026748521,0.00162007,3.112415977,0.000550904
plot_33,bx17,claro,b,22.5,1730.495222,4871.924975,5754.944341,45.2794642,55.08313915,8.754413483,1.759563808,0.002781645,0.087540759,42.17047823,0.151974757,5.124199645,25.05143506,0.913089632,0.005163868,2.420899919,2.08134398,0.026060584,0.001141256,3.17147908,0.000737865
plot_34,WT17,claro,W,31.5,1496.099425,4310.591167,5053.933657,37.36631784,44.34021749,8.328387059,0.839625554,NA,0.104035851,34.69193128,0.161050728,5.077541119,23.52861096,0.944467555,0.00481511,1.541233004,1.938185527,NA,NA,NA,NA
plot_35,bx18,claro,b,40.5,1330.523811,3818.314372,4682.578496,34.81487783,36.46400407,8.025016571,1.114289395,0.001613605,0.056199156,27.92308013,0.149178925,4.310757294,19.19537221,0.825480339,0.00480797,1.327547888,1.712786181,0.021548953,NA,2.78869573,0.000364199
plot_36,WT18,claro,W,49.5,1532.48396,4295.726487,5217.466549,36.17011084,40.20301331,8.944947349,1.404990662,0.002214752,0.06535941,31.73029502,0.166185858,5.015860967,22.86254955,0.837897904,0.004016804,1.373805225,1.809007957,0.019640111,0.000739118,2.789442465,0.000356709
plot_37,bx19,claro,b,58.5,1636.766736,4713.789143,5665.553569,46.73212596,47.7382956,8.70945444,1.381700461,0.001845181,0.082611795,37.60455639,0.173791755,5.09433534,24.30814788,0.960275673,0.004714927,2.141474617,2.158199687,0.026902714,0.00101813,3.328438175,0.000477418
plot_38,WT19,claro,W,67.5,1385.770736,4064.339481,4809.882517,40.35054288,38.46469201,7.665247629,0.980571682,0.00203273,0.04920828,30.08569711,0.09082662,4.311700791,20.25759039,0.655698222,0.003329622,1.879567253,2.008422093,0.020362221,NA,2.216975656,0.000373009
plot_39,bx20,claro,b,76.5,1569.70933,4498.160513,5542.585248,45.68675616,49.12708085,9.063734914,1.756973596,0.003906206,0.11451435,36.59440103,0.136079528,5.073674427,25.68533929,0.84301867,0.004206773,2.891035779,2.304044132,0.023476621,0.001223141,2.883443764,0.000669309
plot_40,WT20,claro,W,85.5,1467.858311,4240.985335,5039.337083,41.81716338,40.55597912,8.648405332,1.670382669,0.002397054,0.079380254,34.24751765,0.174216674,4.858112974,22.35885307,0.903021638,0.003974553,2.699572177,1.728628649,0.032113057,0.001324167,3.097163071,0.000641112
