"sample_nr","plot_id","sample_id","wheat_var","trt","pos_y","number_oulema_larv","nr_lar_per_stem"
"Exp_9_79","plot_40","WT20_a","claro","W",85.5,1,0.0178571428571429
"Exp_9_80","plot_40","WT20_b","claro","W",85.5,3,0.0384615384615385
"Exp_9_81","plot_41","bx21_a","sailor","b",4.5,46,0.793103448275862
"Exp_9_82","plot_41","bx21_b","sailor","b",4.5,30,0.508474576271186
"Exp_9_83","plot_42","WT21_a","sailor","W",13.5,20,0.235294117647059
"Exp_9_84","plot_42","WT21_b","sailor","W",13.5,14,0.205882352941176
"Exp_9_85","plot_43","bx22_a","sailor","b",22.5,14,0.205882352941176
"Exp_9_86","plot_43","bx22_b","sailor","b",22.5,18,0.295081967213115
"Exp_9_87","plot_44","WT22_a","sailor","W",31.5,7,0.0972222222222222
"Exp_9_88","plot_44","WT22_b","sailor","W",31.5,8,0.0869565217391304
"Exp_9_89","plot_45","bx23_a","sailor","b",40.5,15,0.211267605633803
"Exp_9_90","plot_45","bx23_b","sailor","b",40.5,23,0.27710843373494
"Exp_9_91","plot_46","WT23_a","sailor","W",49.5,10,0.138888888888889
"Exp_9_92","plot_46","WT23_b","sailor","W",49.5,18,0.230769230769231
"Exp_9_93","plot_47","bx24_a","sailor","b",58.5,23,0.306666666666667
"Exp_9_94","plot_47","bx24_b","sailor","b",58.5,26,0.270833333333333
"Exp_9_95","plot_48","WT24_a","sailor","W",67.5,26,0.325
"Exp_9_96","plot_48","WT24_b","sailor","W",67.5,20,0.266666666666667
"Exp_9_97","plot_49","bx25_a","sailor","b",76.5,32,0.551724137931034
"Exp_9_98","plot_49","bx25_b","sailor","b",76.5,46,0.807017543859649
"Exp_9_99","plot_50","WT25_a","sailor","W",85.5,20,0.28169014084507
"Exp_9_100","plot_50","WT25_b","sailor","W",85.5,19,0.246753246753247
"Exp_9_101","plot_51","bx26_a","sailor","b",4.5,36,0.444444444444444
"Exp_9_102","plot_51","bx26_b","sailor","b",4.5,34,0.4
"Exp_9_103","plot_52","WT26_a","sailor","W",13.5,18,0.243243243243243
"Exp_9_104","plot_52","WT26_b","sailor","W",13.5,18,0.214285714285714
