"plot_id","sample_id","wheat_var","trt","pos_y","hormone","concentration"
"plot_20","WT10","claro","W",85.5,"ABA",22.156862745098
"plot_20","WT10","claro","W",85.5,"JA",0.709803921568627
"plot_20","WT10","claro","W",85.5,"JA_Ile",0.268627450980392
"plot_20","WT10","claro","W",85.5,"OPDA",1.70392156862745
"plot_21","bx11","fiorina","b",4.5,"SA",45.25
"plot_21","bx11","fiorina","b",4.5,"ABA",32
"plot_21","bx11","fiorina","b",4.5,"JA",1.5825
"plot_21","bx11","fiorina","b",4.5,"JA_Ile",0.6275
"plot_21","bx11","fiorina","b",4.5,"OPDA",4.15
"plot_22","WT11","fiorina","W",13.5,"SA",43.2258064516129
"plot_22","WT11","fiorina","W",13.5,"ABA",34.4086021505376
"plot_22","WT11","fiorina","W",13.5,"JA",0.361290322580645
"plot_22","WT11","fiorina","W",13.5,"JA_Ile",0.169462365591398
"plot_22","WT11","fiorina","W",13.5,"OPDA",2.36559139784946
"plot_23","bx12","fiorina","b",22.5,"SA",77.0526315789474
"plot_23","bx12","fiorina","b",22.5,"ABA",33.6842105263158
"plot_23","bx12","fiorina","b",22.5,"JA",3.68421052631579
"plot_23","bx12","fiorina","b",22.5,"JA_Ile",2.48421052631579
"plot_23","bx12","fiorina","b",22.5,"OPDA",3.53684210526316
"plot_24","WT12","fiorina","W",31.5,"SA",53.2
"plot_24","WT12","fiorina","W",31.5,"ABA",30
"plot_24","WT12","fiorina","W",31.5,"JA",0.474
"plot_24","WT12","fiorina","W",31.5,"JA_Ile",0.26
"plot_24","WT12","fiorina","W",31.5,"OPDA",2.12
"plot_25","bx13","fiorina","b",40.5,"SA",78.8785046728972
"plot_25","bx13","fiorina","b",40.5,"ABA",30.8411214953271
"plot_25","bx13","fiorina","b",40.5,"JA",4.57943925233645
"plot_25","bx13","fiorina","b",40.5,"JA_Ile",2.03738317757009
"plot_25","bx13","fiorina","b",40.5,"OPDA",2.8785046728972
"plot_26","WT13","fiorina","W",49.5,"SA",54.4
"plot_26","WT13","fiorina","W",49.5,"ABA",36.8
"plot_26","WT13","fiorina","W",49.5,"JA",0.718
"plot_26","WT13","fiorina","W",49.5,"JA_Ile",0.4
"plot_26","WT13","fiorina","W",49.5,"OPDA",4.1
"plot_27","bx14","fiorina","b",58.5,"SA",68.6666666666667
"plot_27","bx14","fiorina","b",58.5,"ABA",34
"plot_27","bx14","fiorina","b",58.5,"JA",0.568888888888889
"plot_27","bx14","fiorina","b",58.5,"JA_Ile",0.277777777777778
"plot_27","bx14","fiorina","b",58.5,"OPDA",1.84222222222222
"plot_28","WT14","fiorina","W",67.5,"SA",63.8181818181818
"plot_28","WT14","fiorina","W",67.5,"ABA",28.5454545454545
"plot_28","WT14","fiorina","W",67.5,"JA",2.87272727272727
"plot_28","WT14","fiorina","W",67.5,"JA_Ile",2.18181818181818
"plot_28","WT14","fiorina","W",67.5,"OPDA",2.67272727272727
"plot_29","bx15","fiorina","b",76.5,"SA",68.1481481481481
"plot_29","bx15","fiorina","b",76.5,"ABA",31.2962962962963
"plot_29","bx15","fiorina","b",76.5,"JA",0.911111111111111
"plot_29","bx15","fiorina","b",76.5,"JA_Ile",0.325925925925926
"plot_29","bx15","fiorina","b",76.5,"OPDA",2.64814814814815
"plot_30","WT15","fiorina","W",85.5,"SA",68.2242990654206
"plot_30","WT15","fiorina","W",85.5,"ABA",40.3738317757009
"plot_30","WT15","fiorina","W",85.5,"JA",2.69158878504673
"plot_30","WT15","fiorina","W",85.5,"JA_Ile",0.891588785046729
"plot_30","WT15","fiorina","W",85.5,"OPDA",3.28971962616822
"plot_31","bx16","claro","b",4.5,"SA",273.684210526316
"plot_31","bx16","claro","b",4.5,"ABA",18.9473684210526
"plot_31","bx16","claro","b",4.5,"JA",0.994736842105263
"plot_31","bx16","claro","b",4.5,"JA_Ile",0.326315789473684
"plot_31","bx16","claro","b",4.5,"OPDA",4.17543859649123
"plot_32","WT16","claro","W",13.5,"SA",221.739130434783
"plot_32","WT16","claro","W",13.5,"ABA",20.695652173913
"plot_32","WT16","claro","W",13.5,"JA",0.41304347826087
"plot_32","WT16","claro","W",13.5,"JA_Ile",0.157826086956522
"plot_32","WT16","claro","W",13.5,"OPDA",3.15217391304348
"plot_33","bx17","claro","b",22.5,"SA",98.4782608695652
"plot_33","bx17","claro","b",22.5,"ABA",24.5652173913044
"plot_33","bx17","claro","b",22.5,"JA",0.271739130434783
"plot_33","bx17","claro","b",22.5,"JA_Ile",0.124782608695652
"plot_33","bx17","claro","b",22.5,"OPDA",3.97826086956522
"plot_34","WT17","claro","W",31.5,"SA",306.818181818182
"plot_34","WT17","claro","W",31.5,"ABA",24.0909090909091
"plot_34","WT17","claro","W",31.5,"JA",0.456818181818182
"plot_34","WT17","claro","W",31.5,"JA_Ile",0.206590909090909
"plot_34","WT17","claro","W",31.5,"OPDA",3.47727272727273
"plot_35","bx18","claro","b",40.5,"SA",166.851851851852
"plot_35","bx18","claro","b",40.5,"ABA",23.3333333333333
"plot_35","bx18","claro","b",40.5,"JA",0.488888888888889
"plot_35","bx18","claro","b",40.5,"JA_Ile",0.166481481481481
"plot_35","bx18","claro","b",40.5,"OPDA",3.35185185185185
"plot_36","WT18","claro","W",49.5,"SA",318.867924528302
"plot_36","WT18","claro","W",49.5,"ABA",25.0943396226415
"plot_36","WT18","claro","W",49.5,"JA",0.524528301886793
"plot_36","WT18","claro","W",49.5,"JA_Ile",0.192452830188679
"plot_36","WT18","claro","W",49.5,"OPDA",4.0377358490566
"plot_37","bx19","claro","b",58.5,"SA",244.859813084112
"plot_37","bx19","claro","b",58.5,"ABA",21.6822429906542
"plot_37","bx19","claro","b",58.5,"JA",0.207476635514019
"plot_37","bx19","claro","b",58.5,"JA_Ile",0.0880373831775701
"plot_37","bx19","claro","b",58.5,"OPDA",3.1588785046729
"plot_38","WT19","claro","W",67.5,"SA",NA
"plot_38","WT19","claro","W",67.5,"ABA",21.25
"plot_38","WT19","claro","W",67.5,"JA",0.583333333333333
"plot_38","WT19","claro","W",67.5,"JA_Ile",0.1725
"plot_38","WT19","claro","W",67.5,"OPDA",4.1875
"plot_39","bx20","claro","b",76.5,"SA",160
"plot_39","bx20","claro","b",76.5,"ABA",23.0434782608696
"plot_39","bx20","claro","b",76.5,"JA",0.623913043478261
"plot_39","bx20","claro","b",76.5,"JA_Ile",0.202608695652174
"plot_39","bx20","claro","b",76.5,"OPDA",5.17391304347826
"plot_40","WT20","claro","W",85.5,"SA",135.047619047619
"plot_40","WT20","claro","W",85.5,"ABA",25.9047619047619
"plot_40","WT20","claro","W",85.5,"JA",0.598095238095238
"plot_40","WT20","claro","W",85.5,"JA_Ile",0.392380952380952
"plot_40","WT20","claro","W",85.5,"OPDA",2.07619047619048
"plot_41","bx21","sailor","b",4.5,"SA",144.943820224719
"plot_41","bx21","sailor","b",4.5,"ABA",13.7303370786517
"plot_41","bx21","sailor","b",4.5,"JA",0.426966292134832
"plot_41","bx21","sailor","b",4.5,"JA_Ile",0.0898876404494382
"plot_41","bx21","sailor","b",4.5,"OPDA",2.65168539325843
"plot_42","WT21","sailor","W",13.5,"SA",37.1428571428572
"plot_42","WT21","sailor","W",13.5,"ABA",8.47058823529412
"plot_42","WT21","sailor","W",13.5,"JA",0.228571428571429
"plot_42","WT21","sailor","W",13.5,"JA_Ile",0.0653781512605042
"plot_42","WT21","sailor","W",13.5,"OPDA",1.06050420168067
"plot_43","bx22","sailor","b",22.5,"SA",83.728813559322
"plot_43","bx22","sailor","b",22.5,"ABA",14
"plot_43","bx22","sailor","b",22.5,"JA",0.288135593220339
"plot_43","bx22","sailor","b",22.5,"JA_Ile",0.0803389830508475
"plot_43","bx22","sailor","b",22.5,"OPDA",2.94915254237288
"plot_44","WT22","sailor","W",31.5,"SA",64.5901639344262
"plot_44","WT22","sailor","W",31.5,"ABA",14.3114754098361
"plot_44","WT22","sailor","W",31.5,"JA",NA
"plot_44","WT22","sailor","W",31.5,"JA_Ile",NA
"plot_44","WT22","sailor","W",31.5,"OPDA",NA
"plot_45","bx23","sailor","b",40.5,"SA",78.1609195402299
"plot_45","bx23","sailor","b",40.5,"ABA",13.3333333333333
"plot_45","bx23","sailor","b",40.5,"JA",0.10367816091954
"plot_45","bx23","sailor","b",40.5,"JA_Ile",0.0505747126436782
"plot_45","bx23","sailor","b",40.5,"OPDA",0.901149425287356
"plot_46","WT23","sailor","W",49.5,"SA",93.4545454545455
"plot_46","WT23","sailor","W",49.5,"ABA",11.6545454545455
"plot_46","WT23","sailor","W",49.5,"JA",0.0823636363636364
"plot_46","WT23","sailor","W",49.5,"JA_Ile",0.04
"plot_46","WT23","sailor","W",49.5,"OPDA",1.02545454545455
"plot_47","bx24","sailor","b",58.5,"SA",78.9690721649485
"plot_47","bx24","sailor","b",58.5,"ABA",13.0309278350515
"plot_47","bx24","sailor","b",58.5,"JA",0.350515463917526
"plot_47","bx24","sailor","b",58.5,"JA_Ile",0.206185567010309
"plot_47","bx24","sailor","b",58.5,"OPDA",1.07422680412371
"plot_48","WT24","sailor","W",67.5,"SA",81.4736842105263
"plot_48","WT24","sailor","W",67.5,"ABA",13.8736842105263
"plot_48","WT24","sailor","W",67.5,"JA",0.311578947368421
"plot_48","WT24","sailor","W",67.5,"JA_Ile",0.0911578947368421
"plot_48","WT24","sailor","W",67.5,"OPDA",2.50526315789474
"plot_49","bx25","sailor","b",76.5,"SA",81.8348623853211
"plot_49","bx25","sailor","b",76.5,"ABA",13.9816513761468
"plot_49","bx25","sailor","b",76.5,"JA",0.209174311926606
"plot_49","bx25","sailor","b",76.5,"JA_Ile",0.0647706422018349
"plot_49","bx25","sailor","b",76.5,"OPDA",2.84403669724771
"plot_50","WT25","sailor","W",85.5,"SA",100.449438202247
"plot_50","WT25","sailor","W",85.5,"ABA",13.6629213483146
"plot_50","WT25","sailor","W",85.5,"JA",0.325842696629214
"plot_50","WT25","sailor","W",85.5,"JA_Ile",0.174157303370786
"plot_50","WT25","sailor","W",85.5,"OPDA",1.87415730337079
"plot_51","bx26","sailor","b",4.5,"SA",59.2523364485981
"plot_51","bx26","sailor","b",4.5,"ABA",11.8878504672897
"plot_51","bx26","sailor","b",4.5,"JA",0.613084112149533
"plot_51","bx26","sailor","b",4.5,"JA_Ile",0.218691588785047
"plot_51","bx26","sailor","b",4.5,"OPDA",2.39252336448598
"plot_52","WT26","sailor","W",13.5,"SA",91.8260869565217
"plot_52","WT26","sailor","W",13.5,"ABA",13.9130434782609
"plot_52","WT26","sailor","W",13.5,"JA",0.111826086956522
"plot_52","WT26","sailor","W",13.5,"JA_Ile",0.0523478260869565
"plot_52","WT26","sailor","W",13.5,"OPDA",1.06434782608696
"plot_53","bx27","sailor","b",22.5,"SA",41.3084112149533
"plot_53","bx27","sailor","b",22.5,"ABA",13.5700934579439
"plot_53","bx27","sailor","b",22.5,"JA",NA
"plot_53","bx27","sailor","b",22.5,"JA_Ile",NA
