"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV44"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Magnaporthales"	"f__Magnaporthaceae"	"g__Gaeumannomyces"	NA
"ASV45"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Pleosporaceae"	"g__Alternaria"	"s__dactylidicola"
"ASV46"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV47"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	NA	NA	NA
"ASV48"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Cantharellales"	"f__Ceratobasidiaceae"	"g__Waitea"	"s__circinata"
"ASV49"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV50"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Helotiales_fam_Incertae_sedis"	"g__Cadophora"	"s__orchidicola"
"ASV51"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	NA	NA	NA	NA
"ASV52"	"k__Fungi"	"p__Chytridiomycota"	"c__Rhizophydiomycetes"	"o__Rhizophydiales"	NA	NA	NA
"ASV53"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Magnaporthales"	"f__Magnaporthaceae"	"g__Gaeumannomyces"	NA
"ASV54"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV55"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Phaeosphaeriaceae"	"g__Ophiosphaerella"	NA
"ASV56"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV57"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Entolomataceae"	"g__Entoloma"	"s__cremeoalbum"
"ASV58"	"k__Fungi"	"p__Ascomycota"	"c__Pezizomycetes"	"o__Pezizales"	"f__Ascobolaceae"	"g__Ascobolus"	"s__foliicola"
"ASV59"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV60"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Helotiaceae"	"g__Hymenoscyphus"	"s__menthae"
"ASV61"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Marasmiaceae"	"g__Marasmius"	"s__ruforotula"
"ASV62"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	"f__Lasiosphaeriaceae"	"g__Schizothecium"	"s__glutinans"
"ASV63"	"k__Fungi"	"p__Chytridiomycota"	"c__Rhizophydiomycetes"	"o__Rhizophydiales"	"f__Rhizophydiales_fam_Incertae_sedis"	"g__Operculomyces"	"s__laminatus"
"ASV64"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Cantharellales"	"f__Ceratobasidiaceae"	"g__Thanatephorus"	"s__cucumeris"
"ASV65"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Marasmiaceae"	"g__Marasmius"	NA
"ASV66"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV67"	"k__Fungi"	"p__Mortierellomycota"	"c__Mortierellomycetes"	"o__Mortierellales"	"f__Mortierellaceae"	"g__Mortierella"	NA
"ASV68"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Cantharellales"	"f__Ceratobasidiaceae"	NA	NA
"ASV69"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV70"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Cantharellales"	"f__Ceratobasidiaceae"	"g__Waitea"	"s__circinata"
"ASV71"	"k__Fungi"	"p__Chytridiomycota"	"c__Chytridiomycetes"	"o__Chytridiales"	"f__Chytridiaceae"	NA	NA
"ASV72"	"k__Fungi"	"p__Ascomycota"	"c__Pezizomycetes"	"o__Pezizales"	"f__Pyronemataceae"	NA	NA
"ASV73"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	NA	NA	NA	NA
"ASV74"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	NA	NA	NA	NA
"ASV75"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Helotiaceae"	NA	NA
"ASV76"	"k__Fungi"	"p__Chytridiomycota"	"c__Rhizophlyctidomycetes"	"o__Rhizophlyctidales"	"f__Rhizophlyctidaceae"	NA	NA
"ASV77"	"k__Fungi"	"p__Mortierellomycota"	"c__Mortierellomycetes"	"o__Mortierellales"	"f__Mortierellaceae"	"g__Mortierella"	"s__exigua"
"ASV78"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Pleosporaceae"	"g__Pyrenophora"	NA
"ASV79"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	NA	NA	NA	NA
"ASV80"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Helotiaceae"	"g__Crocicreas"	NA
"ASV81"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Fusarium"	NA
"ASV82"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Cantharellales"	"f__Ceratobasidiaceae"	"g__Thanatephorus"	NA
"ASV83"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Fusicolla"	"s__septimanifiniscientiae"
"ASV84"	"k__Fungi"	"p__Mortierellomycota"	"c__Mortierellomycetes"	"o__Mortierellales"	"f__Mortierellaceae"	"g__Mortierella"	NA
"ASV85"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV86"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Exophiala"	"s__pisciphila"
"ASV87"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Fusarium"	"s__acutatum"
"ASV88"	"k__Fungi"	"p__Chytridiomycota"	"c__Lobulomycetes"	"o__Lobulomycetales"	"f__Lobulomycetaceae"	"g__Lobulomyces"	NA
"ASV89"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Cantharellales"	"f__Ceratobasidiaceae"	NA	NA
"ASV90"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Microascales"	NA	NA	NA
"ASV91"	"k__Fungi"	NA	NA	NA	NA	NA	NA
